,Airport_name,City,Country,IATA,ICAO,Latitude,Longitude,Altitude,Timezone,DST,Tz,Type,Source,Attraction_html
973,Colmar-Meyenheim Air Base,Colmar,France,\N,LFSC,47.922000885,7.39967012405,693,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187073-Activities-Colmar_Haut_Rhin_Grand_Est.html
974,Beaune-Challanges Airport,Beaune,France,\N,LFGF,47.005901,4.89342,656,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187109-Activities-Beaune_Cote_d_Or_Bourgogne_Franche_Comte.html
975,Joigny Airport,Joigny,France,\N,LFGK,47.9921989440918,3.392220020294189,732,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196540-Activities-Joigny_Yonne_Bourgogne_Franche_Comte.html
976,Verdun-Le Rozelier Airfield,Verdun,France,\N,LFGW,49.122398,5.46905,1230,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g198504-Activities-Verden_Aller_Lower_Saxony.html
977,Megève Airport,Verdun,France,MVV,LFHM,45.82080078125,6.652219772338867,4823,1,U,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g198504-Activities-Verden_Aller_Lower_Saxony.html
978,Aubenas-Ardèche Méridional Airport,Aubenas-vals-lanas,France,OBS,LFHO,44.5442008972,4.372189998630001,923,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g954021-Activities-Vals_Canton_of_Graubunden_Swiss_Alps.html
979,Saint-Flour-Coltines Airport,St.-flour,France,\N,LFHQ,45.07640075683594,2.99360990524292,3218,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g34606-Activities-St_Pete_Beach_Florida.html
980,Bourg-Ceyzériat Airport,Bourg,France,XBK,LFHS,46.20090103149414,5.292029857635498,857,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187105-Activities-Burgundy_Bourgogne_Franche_Comte.html
981,Moulins-Montbeugny Airport,Moulins,France,XMU,LFHY,46.53459930419922,3.423719882965088,915,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196522-Activities-Moulins_Allier_Auvergne_Rhone_Alpes.html
982,Saint-Affrique-Belmont Airport,St.-afrique-belmont,France,\N,LFIF,43.82329940795898,2.7452800273895264,1686,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g34606-Activities-St_Pete_Beach_Florida.html
983,Metz-Nancy-Lorraine Airport,Metz,France,ETZ,LFJL,48.9821014404,6.25131988525,870,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187164-Activities-Metz_Moselle_Grand_Est.html
984,Metz-Frescaty (BA 128) Air Base,Metz,France,MZM,LFSF,49.07170104980469,6.131669998168945,629,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187164-Activities-Metz_Moselle_Grand_Est.html
985,Bastia-Poretta Airport,Bastia,France,BIA,LFKB,42.55270004272461,9.48373031616211,26,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187141-Activities-Bastia_Haute_Corse_Corsica.html
986,Calvi-Sainte-Catherine Airport,Calvi,France,CLY,LFKC,42.52444439999999,8.793055599999999,209,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196482-Activities-Calvi_Haute_Corse_Corsica.html
987,Figari Sud-Corse Airport,Figari,France,FSC,LFKF,41.5005989074707,9.097780227661133,87,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g1420964-Activities-Figari_Corse_du_Sud_Corsica.html
988,Ajaccio-Napoléon Bonaparte Airport,Ajaccio,France,AJA,LFKJ,41.92359924316406,8.8029203414917,18,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187140-Activities-Ajaccio_Communaute_d_Agglomeration_du_Pays_Ajaccien_Corse_du_Sud_Corsica.html
989,Méribel Altiport,Ajaccio,France,MFX,LFKX,45.407003,6.577942,5636,1,U,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187140-Activities-Ajaccio_Communaute_d_Agglomeration_du_Pays_Ajaccien_Corse_du_Sud_Corsica.html
990,Propriano Airport,Propriano,France,\N,LFKO,41.66059875488281,8.889749526977539,13,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196485-Activities-Propriano_Corse_du_Sud_Corsica.html
991,Solenzara (BA 126) Air Base,Solenzara,France,SOZ,LFKS,41.924400329589844,9.406000137329102,28,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g8071635-Activities-Solenzara_Sari_Solenzara_Corse_du_Sud_Corsica.html
992,Corte Airport,Corte,France,\N,LFKT,42.29359817504883,9.193059921264648,1132,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g60857-Activities-Cortez_Colorado.html
993,Auxerre-Branches Airport,Auxerre,France,AUF,LFLA,47.85020065307617,3.4971098899841313,523,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187107-Activities-Auxerre_Yonne_Bourgogne_Franche_Comte.html
994,Chambéry-Savoie Airport,Chambery,France,CMF,LFLB,45.638099670410156,5.880229949951173,779,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g8309764-Activities-Chambery_Savoie_Auvergne_Rhone_Alpes.html
995,Chambéry-Challes-les-Eaux Airport,Chambery,France,\N,LFLE,45.5611000061,5.9757599830600014,973,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g8309764-Activities-Chambery_Savoie_Auvergne_Rhone_Alpes.html
996,Clermont-Ferrand Auvergne Airport,Clermont-Ferrand,France,CFE,LFLC,45.786701202399996,3.1691699027999998,1090,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187091-Activities-Clermont_Ferrand_Puy_de_Dome_Auvergne_Rhone_Alpes.html
997,Bourges Airport,Bourges,France,BOU,LFLD,47.05810165405274,2.3702800273895264,529,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187120-Activities-Bourges_Cher_Berry_Centre_Val_de_Loire.html
998,Chalon-Champforgeuil Airport,Chalon,France,XCD,LFLH,46.82609939575195,4.817629814147949,623,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g1389361-Activities-Chalong_Phuket_Town_Phuket.html
999,Annemasse Airport,Annemasse,France,QNJ,LFLI,46.1920013428,6.268390178680002,1620,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196692-Activities-Annemasse_Haute_Savoie_Auvergne_Rhone_Alpes.html
1000,Lyon Saint-Exupéry Airport,Lyon,France,LYS,LFLL,45.72555560000001,5.081111099999999,821,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187265-Activities-Lyon_Rhone_Auvergne_Rhone_Alpes.html
1001,Lyon-Bron Airport,Lyon,France,LYN,LFLY,45.72719955444336,4.944270133972168,659,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187265-Activities-Lyon_Rhone_Auvergne_Rhone_Alpes.html
1002,Mâcon-Charnay Airport,Macon,France,QNX,LFLM,46.295101,4.79577,728,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g60920-Activities-Macon_Georgia.html
1003,Menominee Marinette Twin County Airport,Macon,United States,MNM,KMNM,45.12670135498047,-87.63839721679688,625,-6,A,America/Chicago,airport,OurAirports,https://www.tripadvisor.com/Attractions-g60920-Activities-Macon_Georgia.html
1004,Middle Georgia Regional Airport,Macon,United States,MCN,KMCN,32.692798614501946,-83.64920043945312,354,-5,A,America/New_York,airport,OurAirports,https://www.tripadvisor.com/Attractions-g60920-Activities-Macon_Georgia.html
1005,Robins Air Force Base,Macon,United States,WRB,KWRB,32.640098571799996,-83.59190368649999,294,-5,A,America/New_York,airport,OurAirports,https://www.tripadvisor.com/Attractions-g60920-Activities-Macon_Georgia.html
1006,Saint-Yan Airport,St.-yan,France,\N,LFLN,46.412498474121094,4.0132598876953125,796,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g34606-Activities-St_Pete_Beach_Florida.html
1007,Roanne-Renaison Airport,Roanne,France,RNE,LFLO,46.05830001831055,4.001389980316162,1106,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187268-Activities-Roanne_Communaute_d_Agglomeration_Roannais_Loire_Auvergne_Rhone_Alpes.html
1008,Annecy-Haute-Savoie-Mont Blanc Airport,Annecy,France,NCY,LFLP,45.930833299999996,6.106388900000001,1521,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187260-Activities-Annecy_Haute_Savoie_Auvergne_Rhone_Alpes.html
1009,Grenoble-Isère Airport,Grenoble,France,GNB,LFLS,45.36289978027344,5.329370021820068,1302,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187264-Activities-Grenoble_Isere_Auvergne_Rhone_Alpes.html
1010,Montluçon-Domérat Airport,Montlucon,France,\N,LFLT,46.352501000000004,2.57049,771,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196521-Activities-Montlucon_Allier_Auvergne_Rhone_Alpes.html
1011,Valence-Chabeuil Airport,Valence,France,VAF,LFLU,44.9216,4.9699,525,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187272-Activities-Valence_Drome_Auvergne_Rhone_Alpes.html
1012,Vichy-Charmeil Airport,Vichy,France,VHY,LFLV,46.169700622558594,3.4037399291992188,817,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187093-Activities-Vichy_Allier_Auvergne_Rhone_Alpes.html
1013,Aurillac Airport,Aurillac,France,AUR,LFLW,44.89139938354492,2.4219400882720947,2096,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g229457-Activities-Aurillac_Cantal_Auvergne_Rhone_Alpes.html
1014,"Châteauroux-Déols \Marcel Dassault\"" Airport""",Chateauroux,France,CHR,LFLX,46.86027778,1.7211111000000001,529,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196546-Activities-Chateauroux_Indre_Berry_Centre_Val_de_Loire.html
1015,Aix-en-Provence (BA 114) Airport,Aix-les-milles,France,QXB,LFMA,43.5056,5.367780000000001,367,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187209-Activities-Aix_en_Provence_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
1016,Cannes-Mandelieu Airport,Cannes,France,CEQ,LFMD,43.54199981689453,6.953479766845702,13,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187221-Activities-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html
1017,Saint-Étienne-Bouthéon Airport,St-Etienne,France,EBU,LFMH,45.54059982299805,4.2963900566101065,1325,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187269-Activities-Saint_Etienne_Loire_Auvergne_Rhone_Alpes.html
1018,Istres Le Tubé/Istres Air Base (BA 125) Airport,Istres,France,\N,LFMI,43.522701,4.92384,82,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g196681-Activities-Istres_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
1019,Carcassonne Airport,Carcassonne,France,CCF,LFMK,43.21599960327149,2.3063199520111084,433,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187151-Activities-Carcassonne_Center_Carcassonne_Aude_Occitanie.html
1020,Marseille Provence Airport,Marseille,France,MRS,LFML,43.439271921999996,5.22142410278,74,1,E,Europe/Paris,airport,OurAirports,https://www.tripadvisor.com/Attractions-g187253-Activities-Marseille_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html
